,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Hsf1,28,0.05194805194805195,12,0.022263450834879406,16,0.029684601113172542,247.0,0.013840089715218775,LPS_D03_MoM
Ahctf1,30,0.055658627087198514,30,0.055658627087198514,0,0.0,0.0,0.024852608527120425,LPS_D03_MoM
Rit1,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.0402309959607559,LPS_D03_MoM
Dusp2,34,0.06307977736549165,34,0.06307977736549165,0,0.0,0.0,0.04248451508943514,LPS_D03_MoM
Nek2,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.0137537873710102,LPS_D03_MoM
Maf1,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.019590163697232855,LPS_D03_MoM
Clec10a,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.021589881960881397,LPS_D03_MoM
Zfp3,7,0.012987012987012988,0,0.0,7,0.012987012987012988,0.0,0.007134228730769452,LPS_D03_MoM
Kifc1,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.023092891990580858,LPS_D03_MoM
Tox4,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.021297941532486393,LPS_D03_MoM
Zfp622,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.02685446165537009,LPS_D03_MoM
Aff4,41,0.07606679035250463,41,0.07606679035250463,0,0.0,0.0,0.030971051998558274,LPS_D03_MoM
Zfp871,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.014963531385327035,LPS_D03_MoM
Zkscan3,28,0.05194805194805195,23,0.04267161410018553,5,0.00927643784786642,174.0,0.019063864055606974,LPS_D03_MoM
Hmg20b,23,0.04267161410018553,23,0.04267161410018553,0,0.0,0.0,0.024110716611147866,LPS_D03_MoM
Zfp280d,14,0.025974025974025976,14,0.025974025974025976,0,0.0,0.0,0.016717040928741836,LPS_D03_MoM
Gabpb2,16,0.029684601113172542,16,0.029684601113172542,0,0.0,0.0,0.018955633277957615,LPS_D03_MoM
Rxrg,2,0.0037105751391465678,0,0.0,2,0.0037105751391465678,0.0,0.0023176919817460757,LPS_D03_MoM
Hmg20a,7,0.012987012987012988,7,0.012987012987012988,0,0.0,0.0,0.0037982201647868115,LPS_D03_MoM
Smarce1,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.03837175130443161,LPS_D03_MoM
Rcor1,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.031882505155617455,LPS_D03_MoM
Rfx3,12,0.022263450834879406,0,0.0,12,0.022263450834879406,0.0,0.007588268684385251,LPS_D03_MoM
Carhsp1,31,0.0575139146567718,31,0.0575139146567718,0,0.0,0.0,0.024635147224113356,LPS_D03_MoM
Zbtb44,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.02124423433532736,LPS_D03_MoM
Mier1,34,0.06307977736549165,34,0.06307977736549165,0,0.0,0.0,0.023977788572851697,LPS_D03_MoM
Zfp422,9,0.016697588126159554,9,0.016697588126159554,0,0.0,0.0,0.005952633545782321,LPS_D03_MoM
Zfp91,48,0.08905380333951762,48,0.08905380333951762,0,0.0,0.0,0.041442345142731464,LPS_D03_MoM
Arid4b,36,0.06679035250463822,36,0.06679035250463822,0,0.0,0.0,0.03325196998237957,LPS_D03_MoM
Zfp326,25,0.04638218923933209,25,0.04638218923933209,0,0.0,0.0,0.02171473828686066,LPS_D03_MoM
Hspa1b,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.015325075951096244,LPS_D03_MoM
Zfp655,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.022698251881912067,LPS_D03_MoM
Phb,34,0.06307977736549165,34,0.06307977736549165,0,0.0,0.0,0.03353230516771929,LPS_D03_MoM
Pias1,23,0.04267161410018553,23,0.04267161410018553,0,0.0,0.0,0.030345387904206367,LPS_D03_MoM
Plk2,27,0.05009276437847866,27,0.05009276437847866,0,0.0,0.0,0.02459081945515448,LPS_D03_MoM
Arid1a,32,0.059369202226345084,32,0.059369202226345084,0,0.0,0.0,0.031452924184969165,LPS_D03_MoM
Smad3,4,0.0074211502782931356,0,0.0,4,0.0074211502782931356,0.0,0.00328910932907267,LPS_D03_MoM
Preb,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.016880369465257936,LPS_D03_MoM
Thap12,12,0.022263450834879406,12,0.022263450834879406,0,0.0,0.0,0.018166893928886256,LPS_D03_MoM
Smad5,13,0.02411873840445269,13,0.02411873840445269,0,0.0,0.0,0.01848457505744951,LPS_D03_MoM
Dnajc1,36,0.06679035250463822,36,0.06679035250463822,0,0.0,0.0,0.02623326543214508,LPS_D03_MoM
Smarcal1,10,0.01855287569573284,10,0.01855287569573284,0,0.0,0.0,0.0034610518130709427,LPS_D03_MoM
Gata1,4,0.0074211502782931356,0,0.0,4,0.0074211502782931356,0.0,0.004743512693518853,LPS_D03_MoM
Hist1h2ab,8,0.014842300556586271,8,0.014842300556586271,0,0.0,0.0,0.00854506615618583,LPS_D03_MoM
Smarca1,2,0.0037105751391465678,0,0.0,2,0.0037105751391465678,0.0,0.004068619881921302,LPS_D03_MoM
Gata2,12,0.022263450834879406,0,0.0,12,0.022263450834879406,0.0,0.007289529143782522,LPS_D03_MoM
Cc2d1a,6,0.011131725417439703,6,0.011131725417439703,0,0.0,0.0,0.002507516234070039,LPS_D03_MoM
Prdm2,30,0.055658627087198514,30,0.055658627087198514,0,0.0,0.0,0.02608198783937744,LPS_D03_MoM
Mta2,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.021335048677881586,LPS_D03_MoM
